ComicID,Title,Issue_Num,Issue_Date,Issue_Year,Publisher,Country,ArtComments,KeyComments,Label_Category,POP_0_5,POP_1_0,POP_1_5,POP_1_8,POP_2_0,POP_2_5,POP_3_0,POP_3_5,POP_4_0,POP_4_5,POP_5_0,POP_5_5,POP_6_0,POP_6_5,POP_7_0,POP_7_5,POP_8_0,POP_8_5,POP_9_0,POP_9_2,POP_9_4,POP_9_6,POP_9_8,POP_9_9,POP_10_0,CG_POP_TOTAL
9015558,Doc Savage,5,Jul-33,1933,Street & Smith Pub., ,Cover by Walter M. Baumhofer Lester Dent story ,  ,Universal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015608,Doc Savage,55,Sep-37,1937,Street & Smith Pub., ,"Cover by Robert G. Harris Lester Dent, Carl Jacobi stories ",  ,Universal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015559,Doc Savage,6,Aug-33,1933,Street & Smith Pub., ,Cover by Walter M. Baumhofer Lester Dent story ,"""The Red Skull"" classic cover.  ",Universal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015560,Doc Savage,7,Sep-33,1933,Street & Smith Pub., ,Cover by Walter M. Baumhofer Lester Dent story ,  ,Universal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015561,Doc Savage,8,Oct-33,1933,Street & Smith Pub., ,Cover by Walter M. Baumhofer Lester Dent story ,  ,Universal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015910,Double Detective,16,Mar-39,1939,Munsey, ,Cover by Rudolph Belarski  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9015923,Double Detective,29,Apr-40,1940,Munsey, ,Cover by Emmett Watson  ,1st app. Green Lama.  ,Universal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9016087,Dynamic Science Stories,2,April/May 1939,1939,Red Circle, ,"Cover by Norman Saunders Manly Wade Wellman, Otto Binder & L. Sprague De Camp story",Hitler cover.  ,Universal,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9016106,Eerie Mysteries,1,Aug-38,1938,Ace, ,Cover by Norman Saunders  ,  ,Universal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9016107,Eerie Mysteries,2,Nov-38,1938,Ace, ,Cover by Norman Saunders  ,  ,Universal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9016878,Excitement,4,Oct-30,1930,Street & Smith Pub., ,Cover by Jerome G. Rozen  ,Classic robot cover.  ,Universal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9016926,Exciting Love,11,Spring 1943,1943,Standard, ,  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5017241,Fame and Fortune Weekly,481,18-Dec-14,1914,Frank Tousey, ,  ,"""A Wide Awake Boy""  ",Universal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5017206,Fame and Fortune Weekly,491,26-Feb-15,1915,Frank Tousey, ,  ,"""The Way to Success""  ",Universal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5017238,Fame and Fortune Weekly,496,2-Apr-15,1915,Frank Tousey, ,  ,"""A Mad Cap Scheme""  ",Universal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5017207,Fame and Fortune Weekly,517,27-Aug-15,1915,Frank Tousey, ,  ,"""Winning the Dollars""  ",Universal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5017239,Fame and Fortune Weekly,540,"February 4,1916",1916,Frank Tousey, ,  ,"""A Wall Street Winner""  ",Universal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5017208,Fame and Fortune Weekly,541,11-Feb-16,1916,Frank Tousey, ,  ,"""The Road to Wealth""  ",Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5017240,Fame and Fortune Weekly,543,25-Feb-16,1916,Frank Tousey, ,  ,"""A Chase for a Fortune""  ",Universal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9017203,Famous Fantastic Mysteries,1,Sept/Oct 1939,1939,Munsey, ,"Text cover A. Merritt, Manly Wade Wellman, Ray Cummings, Donald Wandrei stories",  ,Universal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9017243,Famous Fantastic Mysteries,41,Aug-46,1946,Popular, ,Lawrence Stevens cover & art Bram Stoker story ,Classic skull cover.  ,Universal,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9017258,Famous Fantastic Mysteries,56,Feb-49,1949,Popular, ,Lawrence Stevens cover Jack London story ,Classic cover.  ,Universal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9017211,Famous Fantastic Mysteries,9,Aug-40,1940,Munsey, ,Virgil Finlay cover George Allan England story ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9017735,Fantastic Adventures,100,Oct-50,1950,Ziff-Davis Pub., ,Cover by Robert Gibson Jones L. Ron Hubbard story ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9017736,Fantastic Adventures,101,Nov-50,1950,Ziff-Davis Pub., ,Cover by Robert Gibson Jones  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9017656,Fantastic Adventures,21,Nov-41,1941,Ziff-Davis Pub., ,Cover by J. Allen St. John  ,"""Slaves of the Fish Men"" part 3 of 4 by Edgar Rice Burroughs. ",Universal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9017660,Fantastic Adventures,25,Mar-42,1942,Ziff-Davis Pub., ,Cover by J. Allen St. John Henry Kuttner story ,"""Slaves of the Fish Men"" part 4 of 4 by Edgar Rice Burroughs. ",Universal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
